2025-10-03T13:57:02.192119+07:00 | Tb1f87d7ca286460ebbc4e72a0ceb1fde | T2 | IMPORT | 10 | 2025-10-03T13:57:02.191984+07:00 | test nhập
2025-10-03T13:57:02.196817+07:00 | T23285ee6e24649e0a2116409b0a8f27c | T2 | EXPORT | 3 | 2025-10-03T13:57:02.196715+07:00 | bán lẻ
2025-10-03T13:57:20.002716+07:00 | T585ad03d7c274ee1b013036d0a44db6a | T2 | IMPORT | 10 | 2025-10-03T13:57:20.002526+07:00 | test nhập
2025-10-03T13:57:20.008514+07:00 | T9d8adafaeb794fcd8e18312b2a335eb1 | T2 | EXPORT | 3 | 2025-10-03T13:57:20.008370+07:00 | bán lẻ
2025-10-03T13:57:33.972388+07:00 | T6fbd4f6af20e4a6b8867a4ff3ed17da2 | T2 | IMPORT | 10 | 2025-10-03T13:57:33.972216+07:00 | test nhập
2025-10-03T13:57:33.977361+07:00 | T7b087963c90f4e3e8a8df8df70bc4fbf | T2 | EXPORT | 3 | 2025-10-03T13:57:33.977253+07:00 | bán lẻ
2025-10-03T13:58:15.238774+07:00 | T4324f4184d224d87b46752ffc9b4908d | T2 | IMPORT | 10 | 2025-10-03T13:58:15.238529+07:00 | test nhập
2025-10-03T13:58:15.242408+07:00 | Te2eea1f903e7464abf5d2c862d57b392 | T2 | EXPORT | 3 | 2025-10-03T13:58:15.242275+07:00 | bán lẻ
2025-10-03T14:01:10.572503+07:00 | Tfdbfd10dba1b4b819ac0fbf6ba3c7ee8 | T2 | IMPORT | 10 | 2025-10-03T14:01:10.572333+07:00 | test nhập
2025-10-03T14:01:10.576498+07:00 | T0a51426a54674a2bb5d98ce3d72421f4 | T2 | EXPORT | 3 | 2025-10-03T14:01:10.576389+07:00 | bán lẻ
2025-10-03T14:01:37.822989+07:00 | T4d7faead41ab47fbb9c74ca23f20d3cc | T2 | IMPORT | 10 | 2025-10-03T14:01:37.822866+07:00 | test nhập
2025-10-03T14:01:37.826878+07:00 | Te45ce13e92324cdbb4bcc6cca17558d7 | T2 | EXPORT | 3 | 2025-10-03T14:01:37.826745+07:00 | bán lẻ
2025-10-03T14:22:27.762958+07:00 | Td226cd0f5af3480c9f6da3b37c647e94 | T2 | IMPORT | 10 | 2025-10-03T14:22:27.762809+07:00 | test nhập
2025-10-03T14:22:27.775483+07:00 | Tb8ed798e71ec4686929e1eb4bbfe79a7 | T2 | EXPORT | 3 | 2025-10-03T14:22:27.775263+07:00 | bán lẻ
2025-10-03T14:23:33.167655+07:00 | T0484cc51031a453a8ba8f04199986453 | T2 | IMPORT | 10 | 2025-10-03T14:23:33.167522+07:00 | test nhập
2025-10-03T14:23:33.172396+07:00 | Tecf76694817949dcae88711f8365c9eb | T2 | EXPORT | 3 | 2025-10-03T14:23:33.172237+07:00 | bán lẻ
2025-10-03T14:24:26.748317+07:00 | Ta06af653d7524b64a6e0e50d4e0b4060 | T2 | IMPORT | 10 | 2025-10-03T14:24:26.748172+07:00 | test nhập
2025-10-03T14:24:26.751846+07:00 | T2ff57787634f4f6f903d2bba2709e959 | T2 | EXPORT | 3 | 2025-10-03T14:24:26.751742+07:00 | bán lẻ
2025-10-03T14:24:35.854939+07:00 | Tbc854d9d042940e0be8654c0ea4b52bf | T2 | IMPORT | 10 | 2025-10-03T14:24:35.854779+07:00 | test nhập
2025-10-03T14:24:35.859587+07:00 | Tfae1ea7bea564f49a6970abc0c27cdfc | T2 | EXPORT | 3 | 2025-10-03T14:24:35.859460+07:00 | bán lẻ
2025-10-03T20:00:18.901401+07:00 | T21a6e950685a489a8e1f3c1b38b954f4 | T1 | EXPORT | 1 | 2025-10-03T20:00:18.900895+07:00 | bán lẻ
2025-11-06T20:39:00.151444+07:00 | T4c1b6375802040a0b08265da2a11515f | T1 | EXPORT | 7 | 2025-11-06T20:39:00.151272+07:00 | test
